"id","Schedule Name","Category Name","Regular Price","Sale Price","Width","Length"
"82596","A","","294","","39","62"
"82597","A","","294","","39","63"
"82598","A","","294","","39","64"
"82599","A","","294","","39","65"
"82600","A","","294","","39","66"
"82601","A","","305","","39","67"
"82602","A","","305","","39","68"
"82603","A","","305","","39","69"
"82604","A","","305","","39","70"
"82605","A","","305","","39","71"
"82606","A","","305","","39","72"
"82607","A","","328","","39","73"
"82608","A","","328","","39","74"
"82609","A","","328","","39","75"
"82610","A","","328","","39","76"
"82611","A","","328","","39","77"
"82612","A","","328","","39","78"
"82613","A","","328","","39","79"
"82614","A","","328","","39","80"
"82615","A","","328","","39","81"
"82616","A","","328","","39","82"
"82617","A","","328","","39","83"
"82618","A","","328","","39","84"
"82619","A","","352","","39","85"
"82620","A","","352","","39","86"
"82621","A","","352","","39","87"
"82622","A","","352","","39","88"
"82623","A","","352","","39","89"
"82624","A","","352","","39","90"
"82625","A","","352","","39","91"
"82626","A","","352","","39","92"
"82627","A","","352","","39","93"
"82628","A","","352","","39","94"
"82629","A","","352","","39","95"
"82630","A","","352","","39","96"
"82631","A","","376","","39","97"
"82632","A","","376","","39","98"
"82633","A","","376","","39","99"
"82634","A","","376","","39","100"
"82635","A","","376","","39","101"
"82636","A","","376","","39","102"
"82637","A","","376","","39","103"
"82638","A","","376","","39","104"
"82639","A","","376","","39","105"
"82640","A","","376","","39","106"
"82641","A","","376","","39","107"
"82642","A","","376","","39","108"
"82643","A","","420","","39","109"
"82644","A","","420","","39","110"
"82645","A","","420","","39","111"
"82646","A","","420","","39","112"
"82647","A","","420","","39","113"
"82648","A","","420","","39","114"
"82649","A","","420","","39","115"
"82650","A","","420","","39","116"
"82651","A","","420","","39","117"
"82652","A","","420","","39","118"
"82653","A","","420","","39","119"
"82654","A","","420","","39","120"
"82655","A","","236","","40","36"
"82656","A","","259","","40","37"
"82657","A","","259","","40","38"
"82658","A","","259","","40","39"
"82659","A","","259","","40","40"
"82660","A","","259","","40","41"
"82661","A","","259","","40","42"
"82662","A","","259","","40","43"
"82663","A","","259","","40","44"
"82664","A","","259","","40","45"
"82665","A","","259","","40","46"
"82666","A","","259","","40","47"
"82667","A","","259","","40","48"
"82668","A","","283","","40","49"
"82669","A","","283","","40","50"
"82670","A","","283","","40","51"
"82671","A","","283","","40","52"
"82672","A","","283","","40","53"
"82673","A","","283","","40","54"
"82674","A","","283","","40","55"
"82675","A","","283","","40","56"
"82676","A","","283","","40","57"
"82677","A","","283","","40","58"
"82678","A","","283","","40","59"
"82679","A","","283","","40","60"
"82680","A","","294","","40","61"
"82681","A","","294","","40","62"
"82682","A","","294","","40","63"
"82683","A","","294","","40","64"
"82684","A","","294","","40","65"
"82685","A","","294","","40","66"
"82686","A","","305","","40","67"
"82687","A","","305","","40","68"
"82688","A","","305","","40","69"
"82689","A","","305","","40","70"
"82690","A","","305","","40","71"
"82691","A","","305","","40","72"
"82692","A","","328","","40","73"
"82693","A","","328","","40","74"
"82694","A","","328","","40","75"
"82695","A","","328","","40","76"
"82696","A","","328","","40","77"
"82697","A","","328","","40","78"
"82698","A","","328","","40","79"
"82699","A","","328","","40","80"
"82700","A","","328","","40","81"
"82701","A","","328","","40","82"
"82702","A","","328","","40","83"
"82703","A","","328","","40","84"
"82704","A","","352","","40","85"
"82705","A","","352","","40","86"
"82706","A","","352","","40","87"
"82707","A","","352","","40","88"
"82708","A","","352","","40","89"
"82709","A","","352","","40","90"
"82710","A","","352","","40","91"
"82711","A","","352","","40","92"
"82712","A","","352","","40","93"
"82713","A","","352","","40","94"
"82714","A","","352","","40","95"
"82715","A","","352","","40","96"
"82716","A","","376","","40","97"
"82717","A","","376","","40","98"
"82718","A","","376","","40","99"
"82719","A","","376","","40","100"
"82720","A","","376","","40","101"
"82721","A","","376","","40","102"
"82722","A","","376","","40","103"
"82723","A","","376","","40","104"
"82724","A","","376","","40","105"
"82725","A","","376","","40","106"
"82726","A","","376","","40","107"
"82727","A","","376","","40","108"
"82728","A","","420","","40","109"
"82729","A","","420","","40","110"
"82730","A","","420","","40","111"
"82731","A","","420","","40","112"
"82732","A","","420","","40","113"
"82733","A","","420","","40","114"
"82734","A","","420","","40","115"
"82735","A","","420","","40","116"
"82736","A","","420","","40","117"
"82737","A","","420","","40","118"
"82738","A","","420","","40","119"
"82739","A","","420","","40","120"
"82740","A","","263","","41","36"
"82741","A","","290","","41","37"
"82742","A","","290","","41","38"
"82743","A","","290","","41","39"
"82744","A","","290","","41","40"
"82745","A","","290","","41","41"
"82746","A","","290","","41","42"
"82747","A","","290","","41","43"
"82748","A","","290","","41","44"
"82749","A","","290","","41","45"
"82750","A","","290","","41","46"
"82751","A","","290","","41","47"
"82752","A","","290","","41","48"
"82753","A","","318","","41","49"
"82754","A","","318","","41","50"
"82755","A","","318","","41","51"
"82756","A","","318","","41","52"
"82757","A","","318","","41","53"
"82758","A","","318","","41","54"
"82759","A","","318","","41","55"
"82760","A","","318","","41","56"
"82761","A","","318","","41","57"
"82762","A","","318","","41","58"
"82763","A","","318","","41","59"
"82764","A","","318","","41","60"
"82765","A","","331","","41","61"
"82766","A","","331","","41","62"
"82767","A","","331","","41","63"
"82768","A","","331","","41","64"
"82769","A","","331","","41","65"
"82770","A","","331","","41","66"
"82771","A","","343","","41","67"
"82772","A","","343","","41","68"
"82773","A","","343","","41","69"
"82774","A","","343","","41","70"
"82775","A","","343","","41","71"
"82776","A","","343","","41","72"
"82777","A","","370","","41","73"
"82778","A","","370","","41","74"
"82779","A","","370","","41","75"
"82780","A","","370","","41","76"
"82781","A","","370","","41","77"
"82782","A","","370","","41","78"
"82783","A","","370","","41","79"
"82784","A","","370","","41","80"
"82785","A","","370","","41","81"
"82786","A","","370","","41","82"
"82787","A","","370","","41","83"
"82788","A","","370","","41","84"
"82789","A","","399","","41","85"
"82790","A","","399","","41","86"
"82791","A","","399","","41","87"
"82792","A","","399","","41","88"
"82793","A","","399","","41","89"
"82794","A","","399","","41","90"
"82795","A","","399","","41","91"
"82796","A","","399","","41","92"
"82797","A","","399","","41","93"
"82798","A","","399","","41","94"
"82799","A","","399","","41","95"
"82800","A","","399","","41","96"
"82801","A","","447","","41","97"
"82802","A","","447","","41","98"
"82803","A","","447","","41","99"
"82804","A","","447","","41","100"
"82805","A","","447","","41","101"
"82806","A","","447","","41","102"
"82807","A","","447","","41","103"
"82808","A","","447","","41","104"
"82809","A","","447","","41","105"
"82810","A","","447","","41","106"
"82811","A","","447","","41","107"
"82812","A","","447","","41","108"
"82813","A","","477","","41","109"
"82814","A","","477","","41","110"
"82815","A","","477","","41","111"
"82816","A","","477","","41","112"
"82817","A","","477","","41","113"
"82818","A","","477","","41","114"
"82819","A","","477","","41","115"
"82820","A","","477","","41","116"
"82821","A","","477","","41","117"
"82822","A","","477","","41","118"
"82823","A","","477","","41","119"
"82824","A","","477","","41","120"
"82825","A","","263","","42","36"
"82826","A","","290","","42","37"
"82827","A","","290","","42","38"
"82828","A","","290","","42","39"
"82829","A","","290","","42","40"
"82830","A","","290","","42","41"
"82831","A","","290","","42","42"
"82832","A","","290","","42","43"
"82833","A","","290","","42","44"
"82834","A","","290","","42","45"
"82835","A","","290","","42","46"
"82836","A","","290","","42","47"
"82837","A","","290","","42","48"
"82838","A","","501","","51","97"
"82839","A","","501","","51","98"
"82840","A","","501","","51","99"
"82841","A","","501","","51","100"
"82842","A","","501","","51","101"
"82843","A","","501","","51","102"
"82844","A","","501","","51","103"
"82845","A","","501","","51","104"
"82846","A","","501","","51","105"
"82847","A","","501","","51","106"
"82848","A","","501","","51","107"
"82849","A","","501","","51","108"
"82850","A","","536","","51","109"
"82851","A","","536","","51","110"
"82852","A","","536","","51","111"
"82853","A","","536","","51","112"
"82854","A","","536","","51","113"
"82855","A","","536","","51","114"
"82856","A","","536","","51","115"
"82857","A","","536","","51","116"
"82858","A","","536","","51","117"
"82859","A","","536","","51","118"
"82860","A","","536","","51","119"
"82861","A","","536","","51","120"
"82862","A","","290","","52","36"
"82863","A","","320","","52","37"
"82864","A","","320","","52","38"
"82865","A","","320","","52","39"
"82866","A","","320","","52","40"
"82867","A","","320","","52","41"
"82868","A","","320","","52","42"
"82869","A","","320","","52","43"
"82870","A","","320","","52","44"
"82871","A","","320","","52","45"
"82872","A","","320","","52","46"
"82873","A","","320","","52","47"
"82874","A","","320","","52","48"
"82875","A","","348","","52","49"
"82876","A","","348","","52","50"
"82877","A","","348","","52","51"
"82878","A","","348","","52","52"
"82879","A","","348","","52","53"
"82880","A","","348","","52","54"
"82881","A","","348","","52","55"
"82882","A","","348","","52","56"
"82883","A","","348","","52","57"
"82884","A","","348","","52","58"
"82885","A","","348","","52","59"
"82886","A","","348","","52","60"
"82887","A","","367","","52","61"
"82888","A","","367","","52","62"
"82889","A","","367","","52","63"
"82890","A","","367","","52","64"
"82891","A","","367","","52","65"
"82892","A","","367","","52","66"
"82893","A","","381","","52","67"
"82894","A","","381","","52","68"
"82895","A","","381","","52","69"
"82896","A","","381","","52","70"
"82897","A","","381","","52","71"
"82898","A","","381","","52","72"
